NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
513	chervil (Anthriscus cerefolium)	chervil (Anthriscus cerefolium)			N/a
514	chest (body part)	chest (body part)			Body parts
515	chestnut	chestnut			N/a
516	chickenpox	chickenpox	varicella, is a highly contagious disease caused by the initial infection with varicella zoster virus. The disease results in a characteristic skin rash that forms small, itchy blisters, which eventually scab over		N/a
517	child	child	child (son or daughter) / child (young person)		Human being
518	child (son or daughter)	child (son or daughter)			Human being
519	child (young person)	child (young person)	None		N/a
520	child before baptism	child before baptism			Human being
521	childbirth	childbirth	action of giving birth to a child, as the culmination of pregnancy		N/a
522	childless	childless			N/a
523	children	children			N/a
524	children's food	children&#39;s food	special food for children or babies		N/a
525	chili pepper	chili pepper	plant from the genus Capsicum, cultivated for their pungency		N/a
526	chin	chin			Body parts
527	China	China	nation or civilization occupying the country around the Yellow, Yangtze, and Pearl Rivers in East Asia, taken as a whole under its various dynasties		N/a
528	Chionactis occipitalis	Chionactis occipitalis			N/a
529	chip	chip			Natural objects
530	chisel	chisel			N/a
531	cholera	cholera			N/a
532	chopped billet	chopped billet			Artifacts
533	chord (geometry)	chord (geometry)	straight line between two points of a curve		N/a
534	chord (music)	chord (music)	harmonic set of three or more notes that is heard as if sounding simultaneously		N/a
535	Christmas	Christmas	festival/holiday commemorating the birth of Jesus Christ and incorporating various Christian, pre-Christian, pagan and secular customs, which is celebrated on December 25 in most places		N/a
536	chrysalis	chrysalis			Animals
537	chum salmon	chum salmon	fish Oncorhynchus keta		N/a
538	cicada	cicada			Animals
539	cigar	cigar			N/a
540	cigarette butt	cigarette butt	None		Artifacts
541	cinema	cinema			Artifacts
542	cipher, code	cipher, code	method of transforming a text in order to conceal its meaning		N/a
543	circle	circle			Natural objects
544	circular halo	circular halo			N/a
545	cirrus (clouds)	cirrus (clouds)	principal high-level cloud type characterised by white, delicate filaments or wisps, of white (or mostly white) patches, or of narrow bands		Physiologic processes and states
546	citron	citron			N/a
547	city block	city block	smallest part of a town enclosed by streets		N/a
548	clandestine activity	clandestine activity			N/a
549	clapper of a bell	clapper of a bell			N/a
550	clasp, buckle	clasp, buckle			Artifacts
551	class, lesson	class, lesson	a period of time when students are being taught something at school or university		N/a
552	classical	classical			N/a
553	classifier for spherical objects	classifier for spherical objects	None		Artifacts
554	clavicle	clavicle			Body parts
555	claw	claw	curved, pointed horny nail on each digit of the foot of a mammal, reptile, bird, or devil		Animals
556	claw (of a crustacean)	claw (of a crustacean)	pincer (chela) of a crustacean or other arthropod		N/a
557	clay	clay			Natural objects
558	clean (adj.)	clean (adj.)			Other physical
559	clever	clever			Non-physical
560	clew	clew			Artifacts
561	clitoris	clitoris	the small sensitive organ just above the opening of a woman’s vagina which becomes larger when she is sexually excited (Oxford dictionary)		N/a
562	close (of relations)	close (of relations)			Non-physical
563	closed	closed			Other physical
564	clot of blood	clot of blood			N/a
565	clothes	clothes			Artifacts
566	cloud	cloud			Natural objects
567	cloudberry (Rubus chamaemorus)	cloudberry (Rubus chamaemorus)			N/a
568	cloudy	cloudy			Non-physical
569	clove (of a garlic)	clove (of a garlic)			Plants
570	clove, segment	clove, segment			Natural objects
571	clover	clover			N/a
572	club (a weapon)	club (a weapon)			N/a
573	club-rush (Scirpus)	club-rush (Scirpus)	plant Scirpus sp.		N/a
574	clubs (in cards)	clubs (in cards)			Abstract entities
575	clumsy	clumsy			Non-physical
576	coachman	coachman	man who drives a horse-drawn coach		N/a
577	coal	coal			Natural objects
578	coast	coast			Natural objects
579	coati	coati	any of several omnivorous mammals, of the genus Nasua or Nasuella, in order Carnivora, that live in the range from southern United States to northern Argentina		N/a
580	cobalt (metal)	cobalt (metal)			N/a
581	coccyx, tailbone	coccyx, tailbone	final (bottom-most) fused vertebrae at the base of the spine		Possession
582	cock (of a gun)	cock (of a gun)	hammer of a firearm trigger mechanism that strikes the cartridge capsule or strikes with a flint to make a spark (in a gun with a percussion flintlock)		Artifacts
583	cockchafer	cockchafer	any of the large European beetles from the genus Melolontha		N/a
584	cockroach	cockroach			Animals
585	cod	cod			Animals
586	codfish	codfish			N/a
587	codling moth larva	codling moth larva	caterpillar of Cydia pomonella		N/a
588	coffee	coffee			N/a
589	coffin	coffin			Artifacts
590	coin	coin			N/a
591	cold	cold	None		Natural objects
592	cold (disease)	cold (disease)	None		Physiology
593	Coleus (Plectranthus) rotundifolius	Coleus (Plectranthus) rotundifolius	perennial herbaceous plant of the mint family (Lamiaceae) native to tropical Africa. It is cultivated for its edible tubers primarily in West Africa, as well as more recently in parts of Asia, especially India, Sri Lanka, Malaysia, and Indonesia		N/a
594	collar	collar			Artifacts
595	collarbone	collarbone	a slender, S-shaped long bone approximately 6 inches (15 cm) long that serves as a strut between the shoulder blade and the sternum (breastbone) (Wiki)		N/a
596	colored leaves	colored leaves			N/a
597	colour	colour			Abstract entities
598	columbine (Aquilegia)	columbine (Aquilegia)			Plants
599	comb	comb			Artifacts
600	comb (of a bird)	comb (of a bird)			Body parts
601	comet	comet	small Solar System body consisting mainly of volatile ice, dust and particles of rock whose very eccentric solar orbit periodically brings it close enough to the Sun that the ice vaporises to form an atmosphere, or coma, which may be blown by the solar wind to produce a visible tail; a celestial phenomenon with the appearance of such a body		Natural objects
602	comet	comet			Natural objects
603	comfortable	comfortable			Evaluation
604	comma	comma	punctuation mark ⟨,⟩ used to indicate a set of parts of a sentence or between elements of a list		N/a
605	commerce, business	commerce, business			Abstract entities
606	commodity, goods	commodity, goods			Artifacts
607	common bullfinch	common bullfinch	bird Pyrrhula pyrrhula		Abstract entities
608	common buttercup (Ranunculus acris)	common buttercup (Ranunculus acris)			N/a
609	common buzzard	common buzzard	Buteo buteo, a medium-to-large bird of prey		N/a
610	common chipmunk	common chipmunk	Eutamias sibiricus		Non-physical
611	common chub	common chub	fish Squalius cephalus		Plants
612	common dace	common dace	Leuciscus leuciscus		Animals
613	common fumitory (Fumaria officinalis)	common fumitory (Fumaria officinalis)			N/a
614	common jasmine	common jasmine	Jasminum officinale		N/a
615	common melilot (Melilotus officinalis)	common melilot (Melilotus officinalis)			N/a
616	common minnow	common minnow	fish Phoxinus phoxinus		Animals
617	common quail	common quail	bird Coturnix coturnix		Plants
618	common redstart	common redstart	bird Phoenicurus phoenicurus		Tactile quality
619	common reed	common reed	Phragmites australis		N/a
620	common roach	common roach			N/a
621	common starling	common starling	bird Sturnus vulgaris		Animals
622	common vole	common vole			N/a
623	common, shared	common, shared	None		Interpersonal relations
624	common, shared by several people	common, shared by several people			Non-physical
625	community	community			N/a
626	companion, partner	companion, partner			N/a
627	compass (mariners' directional tool)	compass (mariners&#39; directional tool)			Artifacts
628	competent	competent			Non-physical
629	completion	completion			Time
630	complex, complicated	complex, complicated			N/a
631	complexion	complexion			Abstract entities
632	compliant, pliable	compliant, pliable	willing or prone to give way to the influence of others; not invincibly rigid or obstinate		Non-physical
633	comprehensible	comprehensible			Non-physical
634	computer	computer	programmable electronic device that performs mathematical calculations and logical operations, especially one that can process, store and retrieve large amounts of data very quickly; now especially, a small one for personal or home use employed for manipulating text or graphics, accessing the Internet, or playing games or media		N/a
635	computer mouse	computer mouse			N/a
636	condemned to death	condemned to death			Human being
637	condom	condom			N/a
638	cone (fruit)	cone (fruit)			N/a
639	conjoined fruits	conjoined fruits	conjoined fruits that are usually separate		N/a
640	conscience, scruples	conscience, scruples	None		Abstract entities
641	consciousness	consciousness	state of being conscious or aware		N/a
642	consequence	consequence			N/a
643	consequently	consequently			N/a
644	constellation	constellation	asterism, an arbitrary formation of stars perceived as a figure or pattern, or a division of the sky including it, especially one officially recognised by astronomers		N/a
645	content	content	subject matter; semantic information (or a portion or body thereof); that which is contained in writing, speech, video, etc.		N/a
646	contents	contents	material contained		N/a
647	continent	continent			Space
648	contract	contract			Artifacts
649	contract, treaty	contract, treaty			N/a
650	conversation	conversation			Abstract entities
651	coolness (temperature)	coolness (temperature)			Abstract entities
652	copper	copper			N/a
653	copy of an internet page to be used if the original is down	copy of an internet page to be used if the original is down			N/a
654	Coracina novaehollandiae	Coracina novaehollandiae	black-faced cuckooshrike, a common omnivorous passerine bird native to Australia and southern New Guinea		N/a
655	core (of plant)	core (of plant)			N/a
656	cork	cork	bark of the cork oak, which is very light and porous and used for making bottle stoppers, flotation devices, and insulation material		N/a
657	corn crake	corn crake	bird Crex crex		Animals
658	cornel	cornel			Plants
659	corner	corner			Natural objects
660	corner of the eye	corner of the eye	corner of the eye		Motion
661	cornflower (Centaurea)	cornflower (Centaurea)			Plants
662	corpse	corpse			Natural objects
663	corral, enclosure for cattle	corral, enclosure for cattle			N/a
664	correct (adj.)	correct (adj.)			Non-physical
665	cotton	cotton			Plants
666	cotton	cotton			Plants
667	cotton wool	cotton wool	soft, absorbent cotton for medical or cosmetic use, protective padding, etc		N/a
668	country, land	country, land			Space
669	countryside	countryside			Space
670	coup d'état, revolution	coup d&#39;état, revolution	change of the ruling power without the traditional procedure, by force.		N/a
671	couple	couple			N/a
672	courage	courage			Abstract entities
673	court (of a sovereign)	court (of a sovereign)			N/a
674	cousin (female, parallel)	cousin (female, parallel)			N/a
675	cousin (male)	cousin (male)			N/a
676	cousin (male, cross-)	cousin (male, cross-)			N/a
677	cousin (male, parallel)	cousin (male, parallel)			N/a
678	cover (of a book)	cover (of a book)			N/a
679	cover, canopy	cover, canopy			Artifacts
680	cover, lid	cover, lid			Artifacts
681	cow	cow			N/a
682	coward	coward			Human being
683	cowrie	cowrie	small gastropod (Monetaria moneta, syn. Cypraea moneta) common in the Indian Ocean; its shell		N/a
684	crab	crab	A kind of decapod crustaceans.		N/a
685	cradle	cradle			Artifacts
686	craftsman	craftsman	person who makes or creates material objects partly or entirely by hand		N/a
687	cranberry (Oxycoccus)	cranberry (Oxycoccus)			Plants
